,n,q,r,a,u,e,p,name,Winner17,Winner15,q2,r2,nameshort,gain or hold,
E14000731,Harrow East,2,-8,LO,UKI,70981,108089,Harrow East,Con,Con,2,-8,Har,Con hold ,
E14000732,Harrow West,1,-8,LO,UKI,69644,108963,Harrow West,Lab,Lab,1,-8,Har,Lab hold ,
E14000733,Hartlepool,1,14,NE,UKC,69947,93019,Hartlepool,Lab,Lab,1,14,Har,Lab hold ,
E14000734,Harwich and North Essex,10,-2,EA,UKH,69290,95282,Harwich and North Essex,Con,Con,10,-2,Har,Con hold ,
E14000735,Hastings and Rye,11,-14,SE,UKJ,75095,111779,Hastings and Rye,Con,Con,11,-14,Has,Con hold ,
E14000736,Havant,-1,-14,SE,UKJ,70573,95381,Havant,Con,Con,-1,-14,Hav,Con hold ,
E14000737,Hayes and Harlington,-1,-9,LO,UKI,74874,126503,Hayes and Harlington,Lab,Lab,-0.5,-9,Hay,Lab hold ,
E14000738,Hazel Grove,-4,4,NW,UKD,63098,80374,Hazel Grove,Con,Con,-4,4,Haz,Con hold ,
E14000739,Hemel Hempstead,5,-5,EA,UKH,74616,106080,Hemel Hempstead,Con,Con,5.5,-5,Hem,Con hold ,
E14000740,Hemsworth,0,7,YH,UKE,72714,98041,Hemsworth,Lab,Lab,0.5,7,Hem,Lab hold ,
E14000741,Hendon,2,-7,LO,UKI,75285,138888,Hendon,Con,Con,2.5,-7,Hen,Con hold ,
E14000742,Henley,1,-6,SE,UKJ,77946,99228,Henley,Con,Con,1,-6,Hen,Con hold ,
E14000743,Hereford and South Herefordshire,-7,-5,WM,UKG,71485,101437,Hereford and South Herefordshire,Con,Con,-6.5,-5,Her,Con hold ,
